loan_id,age,income_monthly,loan_amount,loan_tenure_m,interest_rate,existing_loans,credit_score,employment_type,education,residence_type,delinquency_30d,utilisation_pct,months_employed,loan_purpose,emi,foir_pct,ltv_proxy,default,employment_enc,education_enc,residence_enc,purpose_enc,log_income,log_loan,credit_band,high_foir,high_util,delinq_flag,tenure_risk,combined_risk,pd_score,credit_grade,predicted_default
LN000018,50,25740,28742,12,20.26,0,318,Self-Employed,Graduate,Own,2,23.2,36,Education,2666,10.36,0.0931,0,3,0,1,2,10.155840330434325,10.266149538318983,4,0,0,1,0,1,17.1,A — Very Low Risk,0
LN000019,48,17470,214191,48,22.94,0,382,Self-Employed,Graduate,Own,0,75.6,17,Home Improvement,6858,39.26,1.0217,0,3,0,1,3,9.768297642474444,12.274628088025679,4,0,0,0,0,0,4.6,A — Very Low Risk,0
LN000020,33,38625,46640,60,8.69,2,548,Freelancer,Under-Graduate,Rented,3,18.0,100,Education,961,2.49,0.1006,0,1,3,2,2,10.561680903832544,10.750235261617851,4,0,0,1,0,3,21.3,B — Low Risk,0
LN000021,21,23829,34589,48,14.95,1,572,Business,Post-Graduate,Own,1,41.1,206,Vehicle,962,4.04,0.121,0,0,1,1,6,10.078700570092789,10.451319901931214,3,0,0,1,0,2,6.5,A — Very Low Risk,0
LN000022,38,28946,75743,48,25.1,3,502,Salaried,Graduate,Family,5,65.3,24,Home Improvement,2516,8.69,0.2181,1,2,0,0,3,10.273221850688493,11.23511451231371,4,0,0,1,0,4,78.9,E — Very High Risk,1
LN000023,40,48532,83783,72,15.19,4,766,Self-Employed,Graduate,Rented,1,61.3,86,Medical,1780,3.67,0.1439,0,3,0,2,4,10.78999925792116,11.335997337452982,1,0,0,1,1,4,14.2,A — Very Low Risk,0
LN000024,31,33482,94426,12,13.2,0,724,Freelancer,Under-Graduate,Rented,3,17.7,61,Personal,8443,25.22,0.235,0,1,3,2,5,10.418793126323825,11.455582328187695,1,0,0,1,0,1,18.3,A — Very Low Risk,0
LN000025,55,18130,74333,24,25.31,3,385,Self-Employed,Graduate,Rented,2,36.7,283,Business,3979,21.95,0.3417,0,3,0,2,0,9.805378459425809,11.216323730343793,4,0,0,1,0,4,45.8,C — Medium Risk,0
LN000026,28,78468,114222,60,26.41,0,397,Salaried,Under-Graduate,Family,4,27.2,266,Personal,3448,4.39,0.1213,0,2,3,0,5,11.270458921316601,11.645907956976366,4,0,0,1,0,1,21.4,B — Low Risk,0
LN000027,42,10788,26364,72,9.53,2,837,Salaried,Under-Graduate,Own,0,42.1,55,Debt Consolidation,482,4.47,0.2037,0,2,3,1,1,9.28628237555134,10.17979265196457,0,0,0,0,1,2,15.2,A — Very Low Risk,0
LN000028,27,29118,181044,60,8.97,2,801,Salaried,Graduate,Rented,2,48.7,83,Medical,3756,12.9,0.5181,0,2,0,2,4,10.279146161061627,12.106500898131964,0,0,0,1,0,3,17.2,A — Very Low Risk,0
LN000029,36,46907,243651,72,16.18,2,827,Self-Employed,Professional,Rented,0,33.3,0,Debt Consolidation,5309,11.32,0.4329,0,3,2,2,1,10.755943515580956,12.403496256733757,0,0,0,0,1,2,23.3,B — Low Risk,0
LN000030,63,9313,335428,12,17.47,1,471,Salaried,Graduate,Rented,1,59.6,267,Vehicle,30667,329.29,3.0014,0,2,0,2,6,9.139273923542323,12.72316558855713,4,1,0,1,0,3,25.7,B — Low Risk,0
LN000031,50,43265,141113,60,13.53,4,680,Salaried,Graduate,Family,4,34.2,118,Business,3249,7.51,0.2718,1,2,0,0,0,10.675122386144814,11.857323353329942,2,0,0,1,0,4,82.3,E — Very High Risk,1
LN000032,39,40588,197202,48,10.87,0,413,Salaried,Under-Graduate,Rented,1,8.8,55,Business,5084,12.53,0.4049,0,2,3,2,0,10.611252372919454,12.1919889340167,4,0,0,1,0,1,7.7,A — Very Low Risk,0
LN000033,30,10645,119150,84,19.45,0,536,Business,Post-Graduate,Rented,2,30.5,143,Business,2607,24.49,0.9328,0,0,1,2,0,9.272939513732704,11.688146875273876,4,0,0,1,1,1,10.2,A — Very Low Risk,0
LN000034,23,23370,71911,24,26.4,1,751,Self-Employed,Graduate,Rented,3,27.9,94,Business,3889,16.64,0.2564,0,3,0,2,0,10.059251216519025,11.183198428253235,1,0,0,1,0,2,26.6,B — Low Risk,0
LN000035,59,18404,179649,24,20.47,0,373,Self-Employed,Post-Graduate,Rented,4,32.8,191,Debt Consolidation,9185,49.91,0.8135,0,3,1,2,1,9.820377645813121,12.098765792541665,4,0,0,1,0,1,29.5,B — Low Risk,0
LN000036,42,17091,71574,72,26.17,3,718,Self-Employed,Graduate,Family,0,66.7,52,Vehicle,1980,11.59,0.349,0,3,0,0,6,9.746365796763916,11.178501129966316,2,0,0,0,1,3,14.5,A — Very Low Risk,0
LN000037,48,26075,48130,24,10.45,4,612,Salaried,Graduate,Rented,4,38.1,146,Wedding,2231,8.56,0.1538,1,2,0,2,7,10.16877063004443,10.781681739143439,3,0,0,1,0,4,70.5,E — Very High Risk,1
LN000038,33,26153,212294,72,22.2,3,628,Business,Graduate,Rented,2,31.6,78,Debt Consolidation,5359,20.49,0.6764,1,0,0,2,1,10.171757421466447,12.265732095836048,3,0,0,1,1,4,37.7,C — Medium Risk,0
LN000039,23,53879,80150,84,21.33,4,838,Business,Graduate,Family,0,57.9,206,Debt Consolidation,1845,3.42,0.124,1,0,0,0,1,10.8945146305243,11.29166763456623,0,0,0,0,1,3,36.5,C — Medium Risk,0
LN000040,30,15480,73726,24,11.55,3,582,Salaried,Graduate,Rented,4,4.9,72,Personal,3455,22.32,0.3969,1,2,0,2,5,9.647368744540465,11.20812436115547,3,0,0,1,0,4,64.4,D — High Risk,1
LN000041,27,39157,60659,36,17.41,1,663,Salaried,Graduate,Family,0,66.8,173,Wedding,2175,5.55,0.1291,0,2,0,0,7,10.575360022817218,11.013039781242572,2,0,0,0,0,1,4.6,A — Very Low Risk,0
LN000042,30,36483,56365,84,24.69,3,501,Self-Employed,Post-Graduate,Own,3,12.2,74,Personal,1416,3.88,0.1287,0,3,1,1,5,10.50462908730005,10.939621418827507,4,0,0,1,1,4,42.3,C — Medium Risk,0
LN000043,27,18354,13808,36,21.53,0,836,Salaried,Graduate,Own,3,80.2,190,Wedding,524,2.85,0.0627,0,2,0,1,7,9.817657295930935,9.533075832485352,0,0,1,1,0,2,11.6,A — Very Low Risk,0
LN000044,46,23376,62129,24,16.78,4,424,Salaried,Graduate,Family,1,32.6,78,Vehicle,3065,13.11,0.2215,0,2,0,0,6,10.059507911994038,11.03698424305774,4,0,0,1,0,4,23.4,B — Low Risk,0
LN000045,26,22292,126317,60,23.75,2,467,Business,Post-Graduate,Own,5,2.0,235,Business,3616,16.22,0.4722,1,0,1,1,0,10.01202800682558,11.74655781599861,4,0,0,1,0,3,67.0,E — Very High Risk,1
LN000046,46,47045,68668,24,13.76,3,459,Salaried,Post-Graduate,Rented,3,79.6,212,Wedding,3289,6.99,0.1216,1,2,1,2,7,10.758881125458977,11.137053139108806,4,0,0,1,0,4,43.0,C — Medium Risk,0
LN000047,46,28692,89696,24,14.04,4,627,Salaried,Graduate,Rented,0,30.6,204,Medical,4308,15.01,0.2605,1,2,0,2,4,10.264408469559651,11.404192602671543,3,0,0,0,0,3,20.7,B — Low Risk,0
LN000048,60,25866,400411,72,24.22,0,650,Salaried,Graduate,Rented,2,18.7,52,Business,10595,40.96,1.29,0,2,0,2,0,10.160723304018108,12.90024929600408,3,0,0,1,1,1,17.3,A — Very Low Risk,0
LN000049,42,41430,190675,12,10.2,4,355,Salaried,Graduate,Rented,4,21.4,210,Business,16781,40.5,0.3835,0,2,0,2,0,10.631784671878874,12.158330931544713,4,0,0,1,0,4,76.4,E — Very High Risk,1
LN000050,25,35380,43612,48,12.41,4,717,Salaried,Graduate,Own,3,85.8,277,Wedding,1157,3.27,0.1027,0,2,0,1,7,10.473930231870588,10.68311055003235,2,0,1,1,0,5,52.4,D — High Risk,1
LN000051,35,42377,207433,36,13.39,1,334,Freelancer,Graduate,Rented,4,81.5,88,Home Improvement,7028,16.58,0.4079,0,1,0,2,3,10.654384638636976,12.242568495768014,4,0,1,1,0,3,47.3,C — Medium Risk,0
LN000052,42,19830,179921,84,14.27,2,784,Salaried,Graduate,Rented,4,39.1,81,Business,3399,17.14,0.7561,1,2,0,2,0,9.89500164888583,12.100278702622992,0,0,0,1,1,3,56.9,D — High Risk,1
LN000053,34,30657,62760,36,11.54,2,474,Freelancer,Graduate,Own,5,80.0,84,Debt Consolidation,2071,6.76,0.1706,1,1,0,1,1,10.330648918726054,11.047089140435771,4,0,0,1,0,3,64.0,D — High Risk,1
LN000054,33,16935,352402,72,11.99,2,760,Self-Employed,Graduate,Own,3,25.0,99,Debt Consolidation,6888,40.67,1.7341,0,3,0,1,1,9.737196812814702,12.772530686061273,1,0,0,1,1,3,37.1,C — Medium Risk,0
LN000055,32,99901,42136,12,21.43,0,500,Self-Employed,Professional,Family,1,35.4,230,Personal,3932,3.94,0.0351,0,3,2,0,5,11.511944984456267,10.648681493556756,4,0,0,1,0,1,7.0,A — Very Low Risk,0
LN000056,42,50141,309774,72,18.16,4,433,Salaried,Professional,Rented,5,14.4,273,Business,7093,14.15,0.5148,0,2,2,2,0,10.822614259229491,12.643601506484694,4,0,0,1,1,4,74.6,E — Very High Risk,1
LN000057,60,64018,212549,60,22.73,0,735,Business,Post-Graduate,Own,3,67.9,227,Medical,5959,9.31,0.2767,1,0,1,1,4,11.066935193283145,12.266932533786937,1,0,0,1,0,1,18.0,A — Very Low Risk,0
LN000058,62,11468,303922,60,26.9,3,833,Self-Employed,Post-Graduate,Own,2,14.1,136,Education,9262,80.76,2.2085,0,3,1,1,2,9.347403022364523,12.624529658831477,0,1,0,1,0,5,35.3,C — Medium Risk,0
LN000059,52,15719,103756,48,23.01,3,748,Freelancer,Graduate,Own,0,80.5,230,Medical,3326,21.16,0.5501,0,1,0,1,4,9.662689065983198,11.549806905696473,1,0,1,0,0,4,10.4,A — Very Low Risk,0
LN000060,61,40733,106481,48,16.37,4,696,Salaried,Post-Graduate,Own,1,56.6,262,Wedding,3038,7.46,0.2178,0,2,1,1,7,10.614818403529702,11.57573123576262,2,0,0,1,0,4,17.2,A — Very Low Risk,0
LN000061,64,41887,126561,60,13.03,1,479,Salaried,Under-Graduate,Own,3,28.1,263,Education,2882,6.88,0.2518,0,2,3,1,2,10.642754668709626,11.748487585657907,4,0,0,1,0,2,19.7,A — Very Low Risk,0
LN000062,54,19243,43621,72,9.6,0,576,Salaried,Graduate,Rented,4,57.6,238,Debt Consolidation,799,4.15,0.1889,0,2,0,2,1,9.864954602819344,10.683316889231797,3,0,0,1,1,1,26.9,B — Low Risk,0
LN000063,58,22556,83165,24,24.94,1,404,Salaried,Graduate,Rented,1,31.4,118,Vehicle,4436,19.67,0.3073,0,2,0,2,6,10.023800718046136,11.328593889441407,4,0,0,1,0,2,7.9,A — Very Low Risk,0
LN000064,55,14925,229246,60,22.73,2,781,Business,Graduate,Own,0,61.4,124,Wedding,6427,43.06,1.28,0,0,0,1,7,9.610859937691332,12.342555303882596,0,0,0,0,0,2,4.1,A — Very Low Risk,0
LN000065,41,38286,62292,60,22.6,2,648,Salaried,Graduate,Rented,0,80.2,247,Home Improvement,1742,4.55,0.1356,0,2,0,2,3,10.552865691963367,11.039604338912175,3,0,1,0,0,3,7.4,A — Very Low Risk,0
LN000066,33,44299,200353,36,22.42,3,509,Salaried,Under-Graduate,Rented,2,21.2,143,Business,7695,17.37,0.3769,0,2,3,2,0,10.698739956033227,12.207841080926135,4,0,0,1,0,4,25.7,B — Low Risk,0
LN000067,62,31296,91898,84,16.57,3,657,Self-Employed,Under-Graduate,Own,1,85.8,258,Medical,1855,5.93,0.2447,0,3,3,1,4,10.351277525289294,11.428445426891757,2,0,1,1,1,5,16.2,A — Very Low Risk,0
LN000068,43,31088,124313,60,10.34,3,723,Freelancer,Under-Graduate,Own,0,99.9,233,Personal,2662,8.56,0.3332,0,1,3,1,5,10.344609337852328,11.730565901888538,1,0,1,0,0,4,15.7,A — Very Low Risk,0
LN000069,25,3284,118043,36,16.81,4,309,Freelancer,Under-Graduate,Own,3,62.1,69,Education,4197,127.8,2.9954,1,1,3,1,2,8.09712193091871,11.678812715300758,4,1,0,1,0,5,81.9,E — Very High Risk,1
LN000070,56,28357,75499,24,25.32,2,668,Business,Professional,Rented,1,79.9,62,Wedding,4042,14.25,0.2219,1,0,2,2,7,10.252664456297504,11.231887935237117,2,0,0,1,0,3,24.6,B — Low Risk,0
LN000071,23,7306,158518,24,23.3,1,438,Salaried,Post-Graduate,Family,3,39.6,67,Education,8326,113.96,1.8081,0,2,1,0,2,8.896588071791218,11.973629738932216,4,1,0,1,0,3,25.6,B — Low Risk,0
LN000072,54,44922,73348,48,15.65,3,721,Self-Employed,Under-Graduate,Rented,3,17.0,159,Wedding,2066,4.6,0.1361,1,3,3,2,7,10.712705192018595,11.202984150213027,1,0,0,1,0,4,52.3,D — High Risk,1
LN000073,33,26076,176741,72,19.33,2,346,Business,Graduate,Rented,1,93.3,115,Home Improvement,4165,15.97,0.5648,0,0,0,2,3,10.168808978749206,12.082446321065454,4,0,1,1,1,4,13.7,A — Very Low Risk,0
LN000074,46,26035,513288,12,22.23,2,522,Freelancer,Graduate,Own,2,69.9,224,Medical,48098,184.74,1.6429,0,1,0,1,4,10.167235474692278,13.148594318355785,4,1,0,1,0,4,26.9,B — Low Risk,0
LN000075,48,12801,273783,36,8.51,3,751,Self-Employed,Post-Graduate,Rented,0,43.0,195,Education,8644,67.53,1.7823,0,3,1,2,2,9.45735668770195,12.520094753313796,1,1,0,0,0,4,20.9,B — Low Risk,0
LN000076,58,24766,60012,72,10.22,3,335,Business,Graduate,Rented,2,26.8,126,Education,1118,4.51,0.2019,0,0,0,2,2,10.117267400897372,11.002316484402073,4,0,0,1,1,4,36.8,C — Medium Risk,0
LN000077,62,39734,46712,24,22.89,1,709,Salaried,Post-Graduate,Own,1,25.5,50,Home Improvement,2444,6.15,0.098,0,2,1,1,3,10.58998769037428,10.751777777509535,2,0,0,1,0,2,5.6,A — Very Low Risk,0
LN000078,58,19830,50249,12,24.46,2,402,Salaried,Graduate,Family,1,65.8,282,Debt Consolidation,4763,24.02,0.2112,0,2,0,0,1,9.89500164888583,10.824765825921322,4,0,0,1,0,3,17.4,A — Very Low Risk,0
LN000079,41,16398,81229,36,9.87,0,725,Self-Employed,Graduate,Own,1,26.9,23,Wedding,2616,15.95,0.4128,0,3,0,1,7,9.704975636343447,11.305039916044999,1,0,0,1,0,1,6.5,A — Very Low Risk,0
LN000080,37,39400,110458,72,21.97,2,700,Business,Professional,Rented,0,87.3,175,Business,2773,7.04,0.2336,0,0,2,2,0,10.5815464756746,11.612399690363322,2,0,1,0,1,3,8.3,A — Very Low Risk,0
LN000081,42,13637,52390,12,14.79,4,779,Salaried,Professional,Rented,2,12.6,294,Business,4723,34.63,0.3201,0,2,2,2,0,9.520615293080597,10.86649009983224,1,0,0,1,0,4,33.6,B — Low Risk,0
LN000082,41,18061,17808,24,22.6,4,502,Salaried,Graduate,Rented,3,24.0,19,Debt Consolidation,929,5.14,0.0822,0,2,0,2,1,9.801565562810744,9.787459226476006,4,0,0,1,0,4,35.6,C — Medium Risk,0
LN000083,35,46117,151994,48,13.41,0,833,Self-Employed,Post-Graduate,Own,2,30.5,282,Home Improvement,4109,8.91,0.2747,1,3,1,1,3,10.738958608308268,11.931602904550527,0,0,0,1,0,1,26.4,B — Low Risk,0
LN000084,34,27712,136173,60,12.65,3,761,Salaried,Graduate,Own,3,42.7,45,Business,3074,11.09,0.4095,1,2,0,1,0,10.229656896161444,11.821688758733082,1,0,0,1,0,4,63.3,D — High Risk,1
LN000085,36,14728,88832,48,25.79,3,401,Salaried,Graduate,Family,4,88.2,125,Personal,2985,20.27,0.5026,1,2,0,0,5,9.597573618489543,11.394513481567671,4,0,1,1,0,5,55.5,D — High Risk,1
LN000086,56,18618,146563,60,12.75,3,466,Self-Employed,Graduate,Own,2,1.4,113,Business,3316,17.81,0.656,1,3,0,1,0,9.831937843696052,11.895217472111941,4,0,0,1,0,4,43.9,C — Medium Risk,0
LN000087,34,35591,102460,36,14.96,0,821,Business,Post-Graduate,Own,4,76.1,199,Wedding,3550,9.97,0.2399,0,0,1,1,7,10.479876172485877,11.53723751735187,0,0,0,1,0,1,20.9,B — Low Risk,0
LN000088,42,25159,325650,36,25.27,4,326,Self-Employed,Graduate,Rented,0,16.5,88,Debt Consolidation,12994,51.65,1.0786,0,3,0,2,1,10.133010710814377,12.693581534751347,4,0,0,0,0,3,14.5,A — Very Low Risk,0
LN000089,28,20391,92341,36,19.37,4,697,Self-Employed,Graduate,Rented,1,81.6,24,Business,3402,16.68,0.3774,1,3,0,2,0,9.92289794605595,11.433254354912412,2,0,1,1,0,5,36.8,C — Medium Risk,0
LN000090,45,18788,79660,84,24.37,4,667,Salaried,Post-Graduate,Rented,1,66.1,124,Vehicle,1984,10.56,0.3533,0,2,1,2,6,9.841026871193522,11.285535410008588,2,0,0,1,1,4,24.8,B — Low Risk,0
LN000091,62,24029,80724,48,10.97,0,566,Salaried,Under-Graduate,Own,2,94.1,87,Business,2085,8.68,0.28,0,2,3,1,0,10.087058328730514,11.298803595626476,3,0,1,1,0,2,14.2,A — Very Low Risk,0
LN000092,42,31474,118242,48,21.4,3,438,Self-Employed,Graduate,Own,3,42.2,113,Vehicle,3687,11.71,0.3131,1,3,0,1,6,10.356948858912547,11.680497107984655,4,0,0,1,0,4,43.8,C — Medium Risk,0
LN000093,38,11255,44936,84,20.41,3,741,Salaried,Post-Graduate,Own,2,34.7,291,Home Improvement,1009,8.96,0.3327,0,2,1,1,3,9.328656598794225,10.713016787836828,1,0,0,1,1,4,31.5,B — Low Risk,0
LN000094,32,63392,48508,60,15.44,4,761,Self-Employed,Post-Graduate,Own,2,55.4,185,Home Improvement,1165,1.84,0.0638,1,3,1,1,3,11.057108724235038,10.789504626720456,1,0,0,1,0,4,45.4,C — Medium Risk,0
LN000095,33,45572,50042,72,8.62,1,334,Salaried,Under-Graduate,Rented,5,99.5,287,Medical,893,1.96,0.0915,1,2,3,2,4,10.727070714875772,10.820637914822164,4,0,1,1,1,3,85.6,E — Very High Risk,1
LN000096,64,32060,350557,24,13.89,2,797,Business,Professional,Rented,5,99.9,12,Business,16813,52.44,0.9112,1,0,2,2,0,10.375395617193007,12.767281449655556,0,0,1,1,0,4,81.2,E — Very High Risk,1
LN000097,27,37226,118055,60,24.22,3,405,Salaried,Under-Graduate,Own,5,78.2,148,Wedding,3411,9.16,0.2643,1,2,3,1,7,10.524789583442729,11.678914367143285,4,0,0,1,0,4,84.7,E — Very High Risk,1
LN000098,45,10381,149209,12,20.76,1,442,Salaried,Graduate,Rented,4,18.6,288,Wedding,13876,133.67,1.1978,1,2,0,2,7,9.247828816387175,11.913109988634467,4,1,0,1,0,3,74.0,E — Very High Risk,1
LN000099,41,25471,70971,72,23.49,0,814,Self-Employed,Post-Graduate,Own,0,23.8,182,Home Improvement,1847,7.25,0.2322,0,3,1,1,3,10.14533508864411,11.17004071204347,0,0,0,0,1,0,5.1,A — Very Low Risk,0
LN000100,63,34508,225529,12,10.65,3,404,Self-Employed,Graduate,Rented,2,73.1,187,Wedding,19896,57.66,0.5446,0,3,0,2,7,10.44897543856412,12.326208466770154,4,1,0,1,0,5,27.5,B — Low Risk,0
LN000101,40,25896,57045,84,17.36,3,362,Salaried,Graduate,Rented,2,9.6,43,Vehicle,1178,4.55,0.1836,0,2,0,2,6,10.161882410862972,10.95161323889698,4,0,0,1,1,4,39.1,C — Medium Risk,0
LN000102,30,45849,92600,72,22.58,4,513,Freelancer,Graduate,Own,2,84.9,84,Home Improvement,2359,5.15,0.1683,0,1,0,1,3,10.733130477684611,11.43605521971203,4,0,1,1,1,5,32.6,B — Low Risk,0
LN000103,41,24495,138133,12,27.69,4,833,Salaried,Graduate,Rented,2,89.1,288,Debt Consolidation,13310,54.34,0.4699,1,2,0,2,1,10.106265117897465,11.835979507502481,0,0,1,1,0,5,67.6,E — Very High Risk,1
LN000104,60,37901,131881,72,16.49,1,623,Self-Employed,Graduate,Rented,4,81.8,219,Education,2896,7.64,0.29,1,3,0,2,2,10.542759160126755,11.789662862372465,3,0,1,1,1,3,50.1,D — High Risk,1
LN000105,31,32845,139898,12,18.37,3,842,Self-Employed,Graduate,Own,5,67.4,116,Personal,12850,39.12,0.3549,1,3,0,1,5,10.399585250897506,11.848676012665194,0,0,0,1,0,4,76.7,E — Very High Risk,1
LN000106,35,38644,45166,36,13.46,1,555,Salaried,Under-Graduate,Family,4,45.5,222,Wedding,1532,3.96,0.0974,1,2,3,0,7,10.562172679540971,10.718122010680352,3,0,0,1,0,2,33.6,B — Low Risk,0
LN000107,49,39251,35479,36,17.11,2,766,Salaried,Professional,Rented,5,70.7,73,Education,1267,3.23,0.0753,0,2,2,2,2,10.577757677326384,10.476724436423515,1,0,0,1,0,3,41.3,C — Medium Risk,0
LN000108,35,28768,57298,48,21.7,2,584,Salaried,Graduate,Rented,1,20.8,52,Education,1796,6.24,0.166,0,2,0,2,2,10.267053697512587,10.956038450543563,3,0,0,1,0,3,12.6,A — Very Low Risk,0
LN000109,21,22902,27248,84,26.52,1,767,Self-Employed,Graduate,Rented,5,64.7,90,Wedding,716,3.13,0.0991,1,3,0,2,7,10.039023185328821,10.212772102170323,1,0,0,1,1,2,69.5,E — Very High Risk,1
LN000110,52,25172,163583,12,27.73,2,687,Freelancer,Graduate,Rented,5,41.2,134,Debt Consolidation,15765,62.63,0.5416,1,1,0,2,1,10.13352727053818,12.005081898857098,2,1,0,1,0,4,80.5,E — Very High Risk,1
LN000111,49,57596,97540,72,11.37,3,838,Self-Employed,Graduate,Own,0,36.1,15,Vehicle,1875,3.26,0.1411,0,3,0,1,6,10.961225761994266,11.488028081415713,0,0,0,0,1,3,19.7,A — Very Low Risk,0
LN000112,54,15175,181985,48,10.12,1,641,Salaried,Post-Graduate,Rented,3,41.3,293,Business,4626,30.48,0.9994,1,2,1,2,0,9.62747051161485,12.111685040023279,3,0,0,1,0,2,21.8,B — Low Risk,0
LN000113,59,16163,198981,72,8.6,1,469,Salaried,Under-Graduate,Rented,1,23.7,183,Home Improvement,3547,21.95,1.0259,0,2,3,2,3,9.690541826198364,12.20096964735427,4,0,0,1,1,2,6.3,A — Very Low Risk,0
LN000114,63,14005,12589,36,20.76,3,765,Salaried,Graduate,Rented,0,85.3,255,Debt Consolidation,473,3.38,0.0749,0,2,0,2,1,9.547241088215463,9.440658127038393,1,0,1,0,0,4,13.2,A — Very Low Risk,0
LN000115,22,21226,43092,36,10.46,1,785,Self-Employed,Under-Graduate,Rented,5,9.1,146,Wedding,1400,6.6,0.1692,1,3,3,2,7,9.963029235244443,10.67111584990838,0,0,0,1,0,2,60.8,D — High Risk,1
LN000116,63,35478,172444,72,10.36,4,374,Business,Post-Graduate,Family,0,23.2,158,Vehicle,3226,9.09,0.405,0,0,1,0,6,10.476696251133417,12.057833624033377,4,0,0,0,1,3,13.8,A — Very Low Risk,0
LN000117,54,17146,267693,60,21.75,3,560,Salaried,Post-Graduate,Own,2,81.6,207,Education,7355,42.9,1.301,0,2,1,1,2,9.749578510178852,12.497599816108218,3,0,1,1,0,5,23.8,B — Low Risk,0
