loan_id,age,income_monthly,loan_amount,loan_tenure_m,interest_rate,existing_loans,credit_score,employment_type,education,residence_type,delinquency_30d,utilisation_pct,months_employed,loan_purpose,emi,foir_pct,ltv_proxy,default
LN000050,25,35380,43612,48,12.41,4,717,Salaried,Graduate,Own,3,85.8,277,Wedding,1157,3.27,0.1027,0
LN000051,35,42377,207433,36,13.39,1,334,Freelancer,Graduate,Rented,4,81.5,88,Home Improvement,7028,16.58,0.4079,0
LN000052,42,19830,179921,84,14.27,2,784,Salaried,Graduate,Rented,4,39.1,81,Business,3399,17.14,0.7561,1
LN000053,34,30657,62760,36,11.54,2,474,Freelancer,Graduate,Own,5,80.0,84,Debt Consolidation,2071,6.76,0.1706,1
LN000054,33,16935,352402,72,11.99,2,760,Self-Employed,Graduate,Own,3,25.0,99,Debt Consolidation,6888,40.67,1.7341,0
LN000055,32,99901,42136,12,21.43,0,500,Self-Employed,Professional,Family,1,35.4,230,Personal,3932,3.94,0.0351,0
LN000056,42,50141,309774,72,18.16,4,433,Salaried,Professional,Rented,5,14.4,273,Business,7093,14.15,0.5148,0
LN000057,60,64018,212549,60,22.73,0,735,Business,Post-Graduate,Own,3,67.9,227,Medical,5959,9.31,0.2767,1
LN000058,62,11468,303922,60,26.9,3,833,Self-Employed,Post-Graduate,Own,2,14.1,136,Education,9262,80.76,2.2085,0
LN000059,52,15719,103756,48,23.01,3,748,Freelancer,Graduate,Own,0,80.5,230,Medical,3326,21.16,0.5501,0
LN000060,61,40733,106481,48,16.37,4,696,Salaried,Post-Graduate,Own,1,56.6,262,Wedding,3038,7.46,0.2178,0
LN000061,64,41887,126561,60,13.03,1,479,Salaried,Under-Graduate,Own,3,28.1,263,Education,2882,6.88,0.2518,0
LN000062,54,19243,43621,72,9.6,0,576,Salaried,Graduate,Rented,4,57.6,238,Debt Consolidation,799,4.15,0.1889,0
LN000063,58,22556,83165,24,24.94,1,404,Salaried,Graduate,Rented,1,31.4,118,Vehicle,4436,19.67,0.3073,0
LN000064,55,14925,229246,60,22.73,2,781,Business,Graduate,Own,0,61.4,124,Wedding,6427,43.06,1.28,0
LN000065,41,38286,62292,60,22.6,2,648,Salaried,Graduate,Rented,0,80.2,247,Home Improvement,1742,4.55,0.1356,0
LN000066,33,44299,200353,36,22.42,3,509,Salaried,Under-Graduate,Rented,2,21.2,143,Business,7695,17.37,0.3769,0
LN000067,62,31296,91898,84,16.57,3,657,Self-Employed,Under-Graduate,Own,1,85.8,258,Medical,1855,5.93,0.2447,0
LN000068,43,31088,124313,60,10.34,3,723,Freelancer,Under-Graduate,Own,0,99.9,233,Personal,2662,8.56,0.3332,0
LN000069,25,3284,118043,36,16.81,4,309,Freelancer,Under-Graduate,Own,3,62.1,69,Education,4197,127.8,2.9954,1
LN000070,56,28357,75499,24,25.32,2,668,Business,Professional,Rented,1,79.9,62,Wedding,4042,14.25,0.2219,1
LN000071,23,7306,158518,24,23.3,1,438,Salaried,Post-Graduate,Family,3,39.6,67,Education,8326,113.96,1.8081,0
LN000072,54,44922,73348,48,15.65,3,721,Self-Employed,Under-Graduate,Rented,3,17.0,159,Wedding,2066,4.6,0.1361,1
LN000073,33,26076,176741,72,19.33,2,346,Business,Graduate,Rented,1,93.3,115,Home Improvement,4165,15.97,0.5648,0
LN000074,46,26035,513288,12,22.23,2,522,Freelancer,Graduate,Own,2,69.9,224,Medical,48098,184.74,1.6429,0
LN000075,48,12801,273783,36,8.51,3,751,Self-Employed,Post-Graduate,Rented,0,43.0,195,Education,8644,67.53,1.7823,0
LN000076,58,24766,60012,72,10.22,3,335,Business,Graduate,Rented,2,26.8,126,Education,1118,4.51,0.2019,0
LN000077,62,39734,46712,24,22.89,1,709,Salaried,Post-Graduate,Own,1,25.5,50,Home Improvement,2444,6.15,0.098,0
LN000078,58,19830,50249,12,24.46,2,402,Salaried,Graduate,Family,1,65.8,282,Debt Consolidation,4763,24.02,0.2112,0
LN000079,41,16398,81229,36,9.87,0,725,Self-Employed,Graduate,Own,1,26.9,23,Wedding,2616,15.95,0.4128,0
LN000080,37,39400,110458,72,21.97,2,700,Business,Professional,Rented,0,87.3,175,Business,2773,7.04,0.2336,0
LN000081,42,13637,52390,12,14.79,4,779,Salaried,Professional,Rented,2,12.6,294,Business,4723,34.63,0.3201,0
LN000082,41,18061,17808,24,22.6,4,502,Salaried,Graduate,Rented,3,24.0,19,Debt Consolidation,929,5.14,0.0822,0
LN000083,35,46117,151994,48,13.41,0,833,Self-Employed,Post-Graduate,Own,2,30.5,282,Home Improvement,4109,8.91,0.2747,1
LN000084,34,27712,136173,60,12.65,3,761,Salaried,Graduate,Own,3,42.7,45,Business,3074,11.09,0.4095,1
LN000085,36,14728,88832,48,25.79,3,401,Salaried,Graduate,Family,4,88.2,125,Personal,2985,20.27,0.5026,1
LN000086,56,18618,146563,60,12.75,3,466,Self-Employed,Graduate,Own,2,1.4,113,Business,3316,17.81,0.656,1
LN000087,34,35591,102460,36,14.96,0,821,Business,Post-Graduate,Own,4,76.1,199,Wedding,3550,9.97,0.2399,0
LN000088,42,25159,325650,36,25.27,4,326,Self-Employed,Graduate,Rented,0,16.5,88,Debt Consolidation,12994,51.65,1.0786,0
LN000089,28,20391,92341,36,19.37,4,697,Self-Employed,Graduate,Rented,1,81.6,24,Business,3402,16.68,0.3774,1
LN000090,45,18788,79660,84,24.37,4,667,Salaried,Post-Graduate,Rented,1,66.1,124,Vehicle,1984,10.56,0.3533,0
LN000091,62,24029,80724,48,10.97,0,566,Salaried,Under-Graduate,Own,2,94.1,87,Business,2085,8.68,0.28,0
LN000092,42,31474,118242,48,21.4,3,438,Self-Employed,Graduate,Own,3,42.2,113,Vehicle,3687,11.71,0.3131,1
LN000093,38,11255,44936,84,20.41,3,741,Salaried,Post-Graduate,Own,2,34.7,291,Home Improvement,1009,8.96,0.3327,0
LN000094,32,63392,48508,60,15.44,4,761,Self-Employed,Post-Graduate,Own,2,55.4,185,Home Improvement,1165,1.84,0.0638,1
LN000095,33,45572,50042,72,8.62,1,334,Salaried,Under-Graduate,Rented,5,99.5,287,Medical,893,1.96,0.0915,1
LN000096,64,32060,350557,24,13.89,2,797,Business,Professional,Rented,5,99.9,12,Business,16813,52.44,0.9112,1
LN000097,27,37226,118055,60,24.22,3,405,Salaried,Under-Graduate,Own,5,78.2,148,Wedding,3411,9.16,0.2643,1
LN000098,45,10381,149209,12,20.76,1,442,Salaried,Graduate,Rented,4,18.6,288,Wedding,13876,133.67,1.1978,1
LN000099,41,25471,70971,72,23.49,0,814,Self-Employed,Post-Graduate,Own,0,23.8,182,Home Improvement,1847,7.25,0.2322,0
LN000100,63,34508,225529,12,10.65,3,404,Self-Employed,Graduate,Rented,2,73.1,187,Wedding,19896,57.66,0.5446,0
LN000101,40,25896,57045,84,17.36,3,362,Salaried,Graduate,Rented,2,9.6,43,Vehicle,1178,4.55,0.1836,0
LN000102,30,45849,92600,72,22.58,4,513,Freelancer,Graduate,Own,2,84.9,84,Home Improvement,2359,5.15,0.1683,0
LN000103,41,24495,138133,12,27.69,4,833,Salaried,Graduate,Rented,2,89.1,288,Debt Consolidation,13310,54.34,0.4699,1
LN000104,60,37901,131881,72,16.49,1,623,Self-Employed,Graduate,Rented,4,81.8,219,Education,2896,7.64,0.29,1
LN000105,31,32845,139898,12,18.37,3,842,Self-Employed,Graduate,Own,5,67.4,116,Personal,12850,39.12,0.3549,1
LN000106,35,38644,45166,36,13.46,1,555,Salaried,Under-Graduate,Family,4,45.5,222,Wedding,1532,3.96,0.0974,1
LN000107,49,39251,35479,36,17.11,2,766,Salaried,Professional,Rented,5,70.7,73,Education,1267,3.23,0.0753,0
LN000108,35,28768,57298,48,21.7,2,584,Salaried,Graduate,Rented,1,20.8,52,Education,1796,6.24,0.166,0
LN000109,21,22902,27248,84,26.52,1,767,Self-Employed,Graduate,Rented,5,64.7,90,Wedding,716,3.13,0.0991,1
LN000110,52,25172,163583,12,27.73,2,687,Freelancer,Graduate,Rented,5,41.2,134,Debt Consolidation,15765,62.63,0.5416,1
LN000111,49,57596,97540,72,11.37,3,838,Self-Employed,Graduate,Own,0,36.1,15,Vehicle,1875,3.26,0.1411,0
LN000112,54,15175,181985,48,10.12,1,641,Salaried,Post-Graduate,Rented,3,41.3,293,Business,4626,30.48,0.9994,1
LN000113,59,16163,198981,72,8.6,1,469,Salaried,Under-Graduate,Rented,1,23.7,183,Home Improvement,3547,21.95,1.0259,0
LN000114,63,14005,12589,36,20.76,3,765,Salaried,Graduate,Rented,0,85.3,255,Debt Consolidation,473,3.38,0.0749,0
LN000115,22,21226,43092,36,10.46,1,785,Self-Employed,Under-Graduate,Rented,5,9.1,146,Wedding,1400,6.6,0.1692,1
LN000116,63,35478,172444,72,10.36,4,374,Business,Post-Graduate,Family,0,23.2,158,Vehicle,3226,9.09,0.405,0
LN000117,54,17146,267693,60,21.75,3,560,Salaried,Post-Graduate,Own,2,81.6,207,Education,7355,42.9,1.301,0
LN000118,61,47335,72486,72,19.31,4,644,Self-Employed,Under-Graduate,Own,3,50.5,221,Wedding,1707,3.61,0.1276,0
LN000119,36,37552,62349,60,11.59,0,607,Salaried,Under-Graduate,Own,4,90.2,179,Business,1374,3.66,0.1384,1
LN000120,49,64211,80402,72,11.39,2,828,Self-Employed,Professional,Own,5,37.9,214,Personal,1546,2.41,0.1043,1
LN000121,63,22374,98433,60,10.37,3,603,Salaried,Post-Graduate,Family,2,99.8,182,Debt Consolidation,2109,9.43,0.3666,0
LN000122,38,32998,119131,48,20.53,3,729,Self-Employed,Graduate,Family,2,5.3,165,Vehicle,3659,11.09,0.3009,1
LN000123,62,28055,166230,36,17.1,0,678,Salaried,Graduate,Own,2,100.0,31,Vehicle,5935,21.15,0.4938,0
LN000124,27,43433,50016,60,23.37,1,783,Salaried,Post-Graduate,Family,1,47.3,288,Medical,1421,3.27,0.096,1
LN000125,33,10529,29480,12,9.49,4,506,Salaried,Graduate,Own,3,13.2,123,Vehicle,2585,24.55,0.2333,1
LN000126,38,22277,61995,60,14.78,1,644,Self-Employed,Post-Graduate,Rented,5,63.0,184,Home Improvement,1468,6.59,0.2319,1
LN000127,63,19491,1046366,72,16.27,1,819,Salaried,Professional,Rented,3,57.5,173,Debt Consolidation,22853,117.25,4.4737,0
LN000128,34,27440,201903,12,24.49,3,763,Business,Graduate,Own,4,17.9,56,Medical,19140,69.75,0.6132,0
LN000129,49,38464,31907,12,23.81,3,740,Salaried,Post-Graduate,Own,2,13.2,142,Personal,3014,7.84,0.0691,0
LN000130,47,19221,326659,12,24.44,3,806,Salaried,Graduate,Family,0,51.0,198,Home Improvement,30958,161.06,1.4162,0
LN000131,30,19931,219706,84,17.83,1,396,Business,Graduate,Rented,0,18.2,102,Home Improvement,4596,23.06,0.9186,0
LN000132,45,27982,226074,48,17.47,2,426,Salaried,Post-Graduate,Rented,2,96.7,16,Debt Consolidation,6578,23.51,0.6733,0
LN000133,45,33499,109284,60,26.81,2,821,Salaried,Graduate,Rented,0,97.8,273,Business,3325,9.93,0.2719,0
LN000134,25,17856,528781,72,20.04,0,842,Self-Employed,Graduate,Rented,3,79.4,102,Vehicle,12678,71.0,2.4678,1
LN000135,33,95794,113407,24,22.63,3,522,Salaried,Graduate,Rented,5,66.4,237,Business,5919,6.18,0.0987,0
LN000136,42,13612,916586,48,16.88,2,756,Self-Employed,Under-Graduate,Rented,0,23.7,108,Education,26391,193.88,5.6114,0
LN000137,51,28638,243188,60,25.58,1,390,Self-Employed,Graduate,Family,3,91.7,40,Vehicle,7221,25.21,0.7076,1
LN000138,57,14791,71087,72,24.92,3,479,Salaried,Professional,Rented,0,56.9,179,Medical,1911,12.92,0.4005,1
LN000139,49,12935,73302,24,15.31,2,717,Salaried,Graduate,Rented,4,35.9,201,Home Improvement,3565,27.56,0.4722,1
LN000140,49,41921,73065,72,16.35,2,682,Salaried,Professional,Own,1,23.5,150,Home Improvement,1599,3.81,0.1452,1
LN000141,28,25780,80101,36,24.88,2,488,Salaried,Professional,Family,2,99.4,263,Home Improvement,3180,12.34,0.2589,0
LN000142,23,18431,290511,36,19.6,0,730,Self-Employed,Graduate,Family,3,37.4,168,Vehicle,10737,58.26,1.3135,0
LN000143,61,28721,66628,36,27.14,0,695,Freelancer,Under-Graduate,Rented,4,60.6,276,Wedding,2725,9.49,0.1933,0
LN000144,24,91980,79349,60,20.18,2,775,Self-Employed,Post-Graduate,Own,0,25.0,120,Business,2110,2.29,0.0719,0
LN000145,64,39626,263392,48,10.02,3,622,Business,Graduate,Own,3,93.3,161,Home Improvement,6683,16.87,0.5539,1
LN000146,28,47163,41805,72,11.21,1,324,Salaried,Graduate,Rented,3,86.6,164,Business,800,1.7,0.0739,0
LN000147,41,60284,32335,48,22.12,0,477,Business,Professional,Family,4,47.4,70,Vehicle,1021,1.69,0.0447,0
LN000148,57,55910,57347,24,15.16,2,769,Salaried,Graduate,Own,3,40.4,39,Debt Consolidation,2785,4.98,0.0855,0
LN000149,37,18036,48409,84,17.9,4,678,Salaried,Graduate,Own,1,79.9,174,Business,1015,5.63,0.2237,1
LN000150,64,32568,74913,84,26.37,0,460,Salaried,Post-Graduate,Rented,1,1.1,31,Business,1962,6.02,0.1917,0
LN000151,24,11900,206869,12,11.97,0,746,Salaried,Graduate,Own,0,79.2,177,Debt Consolidation,18377,154.43,1.4487,1
LN000152,39,31900,59349,84,15.06,2,626,Salaried,Graduate,Rented,5,53.6,244,Education,1147,3.6,0.155,1
LN000153,48,24620,31492,48,19.45,2,666,Freelancer,Under-Graduate,Own,1,78.4,32,Personal,949,3.85,0.1066,0
LN000154,64,22783,161011,60,27.61,2,624,Self-Employed,Graduate,Rented,4,74.4,248,Personal,4975,21.84,0.5889,1
LN000155,45,35362,158884,12,11.61,2,760,Self-Employed,Under-Graduate,Rented,4,76.5,245,Medical,14088,39.84,0.3744,0
LN000156,58,15951,157895,24,11.02,2,672,Salaried,Post-Graduate,Family,3,81.1,247,Business,7361,46.15,0.8249,1
LN000157,26,20523,191356,84,16.71,4,557,Salaried,Graduate,Rented,4,74.9,281,Wedding,3879,18.9,0.777,1
LN000158,27,29021,265622,84,12.58,3,414,Self-Employed,Professional,Rented,3,26.1,131,Wedding,4772,16.44,0.7627,1
LN000159,34,23893,178623,72,8.7,1,566,Self-Employed,Graduate,Rented,0,47.9,12,Vehicle,3193,13.36,0.623,0
LN000160,53,15002,85546,24,16.26,1,581,Salaried,Post-Graduate,Own,3,7.5,165,Personal,4199,27.99,0.4752,0
LN000161,29,13697,39568,24,14.6,2,374,Salaried,Graduate,Rented,5,89.4,83,Business,1911,13.95,0.2407,0
LN000162,47,21368,92515,12,10.67,3,803,Salaried,Post-Graduate,Rented,0,65.4,128,Wedding,8162,38.2,0.3608,0
LN000163,56,23122,72404,12,20.56,1,699,Salaried,Post-Graduate,Rented,2,60.9,185,Wedding,6727,29.09,0.2609,0
LN000164,45,31834,103944,24,21.81,2,816,Business,Professional,Own,1,67.4,61,Wedding,5383,16.91,0.2721,0
LN000165,60,13888,86678,84,13.45,0,513,Self-Employed,Graduate,Family,2,84.4,224,Medical,1598,11.51,0.5201,0
LN000166,50,34537,171569,12,19.33,2,398,Self-Employed,Under-Graduate,Own,0,75.4,183,Education,15838,45.86,0.414,0
LN000167,23,7479,147395,48,27.86,0,681,Self-Employed,Under-Graduate,Rented,0,24.3,57,Wedding,5125,68.53,1.6423,0
LN000168,64,19226,88282,84,8.62,3,752,Self-Employed,Post-Graduate,Own,4,42.3,133,Wedding,1403,7.3,0.3827,1
LN000169,52,16405,413292,60,10.3,0,706,Business,Graduate,Own,1,37.3,7,Personal,8842,53.9,2.0994,0
LN000170,29,14475,97002,84,22.82,1,611,Salaried,Graduate,Rented,5,67.1,184,Wedding,2322,16.04,0.5584,1
LN000171,55,49068,66324,24,14.0,2,347,Self-Employed,Graduate,Own,2,99.2,159,Personal,3184,6.49,0.1126,0
LN000172,62,9828,69663,84,26.99,0,632,Salaried,Graduate,Rented,1,74.2,269,Wedding,1853,18.85,0.5907,0
LN000173,56,37497,98938,48,9.78,4,509,Self-Employed,Post-Graduate,Rented,4,98.5,216,Medical,2499,6.66,0.2199,0
LN000174,35,37734,34601,72,10.75,1,778,Business,Post-Graduate,Rented,4,89.7,115,Business,654,1.73,0.0764,0
LN000175,60,19749,137750,24,20.54,0,508,Business,Graduate,Own,4,9.2,194,Education,7047,35.68,0.5813,0
LN000176,55,17673,226123,84,22.93,0,586,Salaried,Under-Graduate,Rented,2,39.4,260,Medical,5428,30.71,1.0662,0
LN000177,46,41314,107393,12,24.82,2,598,Salaried,Graduate,Own,4,18.6,86,Debt Consolidation,10198,24.68,0.2166,1
LN000178,33,39255,323743,72,13.76,1,487,Salaried,Under-Graduate,Own,0,10.2,289,Vehicle,6629,16.89,0.6873,0
LN000179,28,48662,117120,72,26.38,4,602,Self-Employed,Graduate,Rented,2,83.3,110,Home Improvement,3255,6.69,0.2006,1
LN000180,31,42829,94952,48,15.28,2,429,Business,Professional,Rented,1,96.2,105,Education,2656,6.2,0.1848,0
LN000181,27,38284,118438,36,12.62,4,669,Self-Employed,Professional,Rented,2,44.3,170,Wedding,3969,10.37,0.2578,0
LN000182,23,8217,705755,60,17.71,1,526,Business,Graduate,Rented,1,33.4,41,Medical,17810,216.75,7.1575,0
LN000183,48,49136,128347,36,16.65,0,381,Salaried,Under-Graduate,Own,2,77.6,23,Wedding,4554,9.27,0.2177,0
LN000184,50,16589,117449,60,8.53,2,750,Freelancer,Graduate,Own,1,16.4,251,Business,2411,14.53,0.59,0
LN000185,37,26096,32781,24,27.13,2,559,Salaried,Under-Graduate,Own,2,11.6,235,Vehicle,1785,6.84,0.1047,0
LN000186,37,15703,192918,84,11.71,1,579,Salaried,Under-Graduate,Own,3,37.0,136,Wedding,3376,21.5,1.0238,0
LN000187,24,29172,263920,48,22.03,3,517,Salaried,Post-Graduate,Own,3,44.1,81,Education,8319,28.52,0.7539,0
LN000188,39,35746,102632,84,27.43,3,434,Salaried,Under-Graduate,Family,3,85.0,91,Home Improvement,2759,7.72,0.2393,0
LN000189,42,22859,134776,12,24.3,1,320,Salaried,Post-Graduate,Own,2,44.2,162,Vehicle,12764,55.84,0.4913,1
LN000190,64,58667,96221,72,26.02,4,337,Self-Employed,Graduate,Rented,4,23.1,155,Personal,2652,4.52,0.1367,1
LN000191,21,50282,58203,60,9.44,2,734,Business,Graduate,Rented,4,47.6,256,Personal,1221,2.43,0.0965,1
LN000192,34,30955,139606,36,10.48,4,832,Salaried,Graduate,Own,1,98.0,202,Medical,4536,14.65,0.3758,0
LN000193,61,16955,68303,36,25.92,4,794,Salaried,Under-Graduate,Own,5,36.9,280,Medical,2749,16.21,0.3357,1
LN000194,57,56049,101639,72,12.09,4,707,Self-Employed,Graduate,Rented,2,93.9,257,Wedding,1992,3.55,0.1511,0
LN000195,45,24619,158255,84,10.06,1,395,Salaried,Graduate,Own,5,76.5,143,Personal,2632,10.69,0.5357,0
LN000196,45,21493,213609,60,13.24,3,623,Salaried,Under-Graduate,Family,5,11.9,128,Vehicle,4887,22.74,0.8282,1
LN000197,42,30054,59987,72,18.35,0,459,Self-Employed,Graduate,Own,5,84.0,14,Education,1380,4.59,0.1663,0
LN000198,26,8739,329146,36,23.74,2,358,Salaried,Post-Graduate,Rented,1,0.9,215,Education,12868,147.25,3.1387,0
LN000199,39,32100,94633,84,20.27,0,844,Salaried,Graduate,Own,5,90.0,196,Personal,2117,6.6,0.2457,0
LN000200,31,34164,323320,72,21.37,2,389,Salaried,Graduate,Rented,1,0.4,164,Education,8003,23.43,0.7886,0
LN000201,22,23691,29814,60,21.22,1,455,Salaried,Graduate,Family,3,27.6,51,Wedding,810,3.42,0.1049,0
LN000202,25,22100,71972,36,15.42,2,319,Business,Under-Graduate,Rented,3,11.9,225,Personal,2510,11.36,0.2714,1
LN000203,26,29099,48018,72,13.41,4,310,Salaried,Graduate,Own,3,52.3,21,Medical,974,3.35,0.1375,0
LN000204,31,30550,71236,24,23.01,2,452,Salaried,Professional,Rented,2,50.8,257,Business,3731,12.21,0.1943,0
LN000205,60,41375,124999,24,22.6,1,430,Salaried,Graduate,Rented,2,11.7,74,Education,6522,15.76,0.2518,0
LN000206,59,22791,64064,60,25.18,0,424,Salaried,Graduate,Rented,5,47.5,287,Personal,1887,8.28,0.2342,0
LN000207,50,14843,32947,60,22.35,0,336,Salaried,Post-Graduate,Family,5,73.3,88,Business,917,6.18,0.185,0
LN000208,56,36239,121134,60,22.84,2,796,Self-Employed,Under-Graduate,Rented,0,20.4,194,Personal,3404,9.39,0.2786,0
LN000209,42,61892,46007,12,12.0,4,421,Self-Employed,Post-Graduate,Own,5,35.4,142,Personal,4088,6.61,0.0619,1
LN000210,46,38644,154899,60,9.25,2,640,Self-Employed,Graduate,Family,3,7.8,232,Vehicle,3234,8.37,0.334,1
LN000211,23,23450,335743,12,23.4,4,339,Self-Employed,Professional,Rented,3,56.5,251,Debt Consolidation,31650,134.97,1.1931,1
LN000212,32,15295,245079,48,27.39,4,356,Salaried,Post-Graduate,Own,0,10.0,179,Personal,8456,55.29,1.3353,0
